study_hours_daily,attendance_rate,homework_completion,class_participation,assignment_quality,working_memory,critical_thinking,academic_aptitude,time_management,study_consistency,motivation_level,sleep_hours,stress_management,focus_concentration,peer_support,faculty_support,school_resources,age,gender,extracurricular_hours,final_score,performance_level,created_at
1.9712411234972684,84.55306864759243,79.21299778806394,6.306428437580205,8.985764931064752,5.881766722986227,10.954112735870913,64.33012462312902,8.405379787811635,6.828296477586109,3.0579447881338755,5.6340406816053035,5.593561826788595,6.538464934472908,9.625282064354488,8.768712472724761,6.784641128735983,22,Male,3,74.6,Medium,2025-11-13 17:55:01.021257
6.514929464942148,86.77449065862436,57.26054873157907,2.7891560781986615,4.163946180249477,5.725466356105919,4.1197183099090005,70.0824639472753,2.0,5.005101001983743,3.6274198676575717,8.076905943343064,5.049826478128163,5.101510375842189,9.116491127379426,7.2873446239146205,5.79505023907199,23,Female,1,65.4,Medium,2025-11-13 17:55:01.021257
7.6872587342396885,98.71592714913365,97.50142309658055,6.107800946554146,3.65761602048964,8.184170891989492,7.444281209736413,75.85855121861488,3.277201144529335,8.134981204331918,5.359558963161784,5.25,8.248753505425169,7.430571083518037,9.96386219155534,7.167394643751746,6.50360793408048,21,Male,6,82.0,High,2025-11-13 17:55:01.021257
4.008282095874704,73.66653174748315,48.75434051848527,5.976887092711962,5.59216525368409,3.280826359510246,5.343555605863543,62.76797920571537,8.524123545827536,8.001996352765042,10.119321126582202,5.4801440191658015,6.407874404517842,5.545932494487848,7.345081682710514,7.497947794532471,6.252461232275234,21,Male,3,56.2,Low,2025-11-13 17:55:01.021257
3.4522961393919966,80.32193807329377,58.72532467159919,8.190869456602218,5.47147077209647,8.36294240612528,4.710944648824615,78.96372329326246,7.000125688386266,6.210489238448509,8.184850307909244,8.30234224870315,3.7044424393261126,7.162138460899238,7.43288311608629,8.7908224027241,3.4878270878141064,21,Female,3,69.9,Medium,2025-11-13 17:55:01.021257
2.232184931773287,66.5,56.28064286273723,4.864426505130157,5.783438504731148,5.912826382377222,10.153530914880914,83.85413920590852,4.162377038376061,8.157461252690801,6.521867357745613,3.3922627208904377,5.128384128346374,4.231027119402696,4.13736962729281,8.139752445300575,6.8397769671724555,20,Female,8,57.9,Low,2025-11-13 17:55:01.021257
2.807389395354926,116.27457487424205,107.46187686221452,3.4758736130459287,5.1001918403350555,4.33294064974354,6.089550333079475,44.97025018029355,5.320343281663334,7.323259766822701,4.697485226754323,5.083202956031282,5.225281485342384,8.240698383524677,4.859393833197088,7.501220364587411,7.219774766256184,21,Female,7,79.2,High,2025-11-13 17:55:01.021257
4.818824515348275,79.1604183029912,69.49775404860186,5.804649981900518,6.796116568841189,5.357823631848662,5.534446602028477,61.98075116864629,4.852069767564286,4.135028189218219,10.511251298671993,4.729754025291211,5.692027638724309,4.152262566110814,2.9516538035738358,4.399902517503956,9.497648574276807,22,Male,5,64.0,Low,2025-11-13 17:55:01.021257
2.240372289883992,76.29010389398736,86.89422175091691,4.56155492198646,8.265449811844892,6.5443361763257695,6.356130022701469,55.24737984495012,3.5999999999999996,5.897061958526181,3.5567953164045134,5.8141529316437435,5.745666536306212,2.0,10.4,6.884027075544636,4.990528230187439,21,Male,10,67.3,Medium,2025-11-13 17:55:01.021257
4.493604759661358,100.66350222504582,49.65747601014556,2.8429927032061952,5.015977243457395,6.836010832050943,4.270266256648486,78.75354557849349,8.841217958041883,7.905021332789926,5.34483020355799,6.376666703341318,5.542914904479587,7.357691447610103,8.244773304582283,6.778556125697514,6.485548549476311,24,Female,4,65.1,Medium,2025-11-13 17:55:01.021257
